Panel,Panel Size,HVG&DE_8000,HVG&PCA_8000,DE&PCA_8000,HVG&DE&PCA_8000,GLOBAL_HVG&DE_8000,GLOBAL_HVG&PCA_8000,GLOBAL_DE&PCA_8000,GLOBAL_HVG&DE&PCA_8000,HVG&DE_4000,HVG&PCA_4000,DE&PCA_4000,HVG&DE&PCA_4000,GLOBAL_HVG&DE_4000,GLOBAL_HVG&PCA_4000,GLOBAL_DE&PCA_4000,GLOBAL_HVG&DE&PCA_4000,HVG&DE_2000,HVG&PCA_2000,DE&PCA_2000,HVG&DE&PCA_2000,GLOBAL_HVG&DE_2000,GLOBAL_HVG&PCA_2000,GLOBAL_DE&PCA_2000,GLOBAL_HVG&DE&PCA_2000,HVG&DE_1000,HVG&PCA_1000,DE&PCA_1000,HVG&DE&PCA_1000,GLOBAL_HVG&DE_1000,GLOBAL_HVG&PCA_1000,GLOBAL_DE&PCA_1000,GLOBAL_HVG&DE&PCA_1000
Lipid-Metabolism-500_CP1275.csv,504,236 (46.83%),210 (41.67%),256 (50.79%),183 (36.31%),2809.0,2620.0,5987.0,2222.0,135 (26.79%),141 (27.98%),150 (29.76%),102 (20.24%),1231.0,1193.0,2377.0,861.0,87 (17.26%),65 (12.90%),73 (14.48%),46 (9.13%),603.0,511.0,937.0,355.0,59 (11.71%),31 (6.15%),34 (6.75%),22 (4.37%),335.0,215.0,322.0,129.0
Aging-SFO_C2P2329.csv,501,248 (49.50%),233 (46.51%),291 (58.08%),208 (41.52%),2809.0,2620.0,5987.0,2222.0,147 (29.34%),169 (33.73%),181 (36.13%),124 (24.75%),1231.0,1193.0,2377.0,861.0,103 (20.56%),98 (19.56%),104 (20.76%),72 (14.37%),603.0,511.0,937.0,355.0,71 (14.17%),52 (10.38%),52 (10.38%),33 (6.59%),335.0,215.0,322.0,129.0
ISD2.csv,498,249 (50.00%),217 (43.57%),282 (56.63%),201 (40.36%),2809.0,2620.0,5987.0,2222.0,157 (31.53%),157 (31.53%),166 (33.33%),125 (25.10%),1231.0,1193.0,2377.0,861.0,99 (19.88%),84 (16.87%),89 (17.87%),63 (12.65%),603.0,511.0,937.0,355.0,67 (13.45%),40 (8.03%),36 (7.23%),25 (5.02%),335.0,215.0,322.0,129.0
Border-DA-Oligo_CP1528s.csv,499,228 (45.69%),201 (40.28%),253 (50.70%),185 (37.07%),2809.0,2620.0,5987.0,2222.0,134 (26.85%),150 (30.06%),164 (32.87%),111 (22.24%),1231.0,1193.0,2377.0,861.0,86 (17.23%),86 (17.23%),85 (17.03%),52 (10.42%),603.0,511.0,937.0,355.0,62 (12.42%),47 (9.42%),41 (8.22%),27 (5.41%),335.0,215.0,322.0,129.0
MouseBrain20220523_VA00274_500_genes.csv,500,232 (46.40%),201 (40.20%),254 (50.80%),179 (35.80%),2809.0,2620.0,5987.0,2222.0,131 (26.20%),139 (27.80%),152 (30.40%),103 (20.60%),1231.0,1193.0,2377.0,861.0,89 (17.80%),69 (13.80%),76 (15.20%),53 (10.60%),603.0,511.0,937.0,355.0,66 (13.20%),35 (7.00%),36 (7.20%),27 (5.40%),335.0,215.0,322.0,129.0
Zhuang-ABCA-1.csv,1122,348 (31.02%),348 (31.02%),620 (55.26%),311 (27.72%),2809.0,2620.0,5987.0,2222.0,177 (15.78%),220 (19.61%),348 (31.02%),159 (14.17%),1231.0,1193.0,2377.0,861.0,101 (9.00%),120 (10.70%),155 (13.81%),77 (6.86%),603.0,511.0,937.0,355.0,64 (5.70%),60 (5.35%),59 (5.26%),33 (2.94%),335.0,215.0,322.0,129.0
Vizgen_Receptor_panel.csv,478,131 (27.41%),114 (23.85%),180 (37.66%),108 (22.59%),2809.0,2620.0,5987.0,2222.0,75 (15.69%),67 (14.02%),110 (23.01%),56 (11.72%),1231.0,1193.0,2377.0,861.0,44 (9.21%),32 (6.69%),42 (8.79%),24 (5.02%),603.0,511.0,937.0,355.0,32 (6.69%),9 (1.88%),15 (3.14%),7 (1.46%),335.0,215.0,322.0,129.0
Allen_Zeng.csv,1129,350 (31.00%),348 (30.82%),612 (54.21%),310 (27.46%),2809.0,2620.0,5987.0,2222.0,178 (15.77%),220 (19.49%),345 (30.56%),160 (14.17%),1231.0,1193.0,2377.0,861.0,103 (9.12%),121 (10.72%),154 (13.64%),77 (6.82%),603.0,511.0,937.0,355.0,66 (5.85%),59 (5.23%),59 (5.23%),33 (2.92%),335.0,215.0,322.0,129.0
ZengGenePanel.csv,550,186 (33.82%),180 (32.73%),314 (57.09%),168 (30.55%),2809.0,2620.0,5987.0,2222.0,93 (16.91%),117 (21.27%),188 (34.18%),86 (15.64%),1231.0,1193.0,2377.0,861.0,56 (10.18%),74 (13.45%),93 (16.91%),46 (8.36%),603.0,511.0,937.0,355.0,38 (6.91%),38 (6.91%),37 (6.73%),21 (3.82%),335.0,215.0,322.0,129.0
Vizgen1000.csv,949,317 (33.40%),291 (30.66%),439 (46.26%),263 (27.71%),2809.0,2620.0,5987.0,2222.0,177 (18.65%),169 (17.81%),246 (25.92%),132 (13.91%),1231.0,1193.0,2377.0,861.0,109 (11.49%),82 (8.64%),109 (11.49%),63 (6.64%),603.0,511.0,937.0,355.0,65 (6.85%),33 (3.48%),40 (4.21%),20 (2.11%),335.0,215.0,322.0,129.0
MEAN_PERCENT,,39.51%,36.13%,51.75%,32.71%,,,,,22.35%,24.33%,30.72%,18.25%,,,,,14.17%,13.06%,15.00%,9.09%,,,,,9.69%,6.38%,6.44%,4.00%,,,,
