Ensembl_ID,Combined_score_prob
ENSMUSG00000033740,0.0001308337955264627
ENSMUSG00000048960,0.00012606129639919434
ENSMUSG00000007097,0.00011891450254386623
ENSMUSG00000062209,0.00011275172976313876
ENSMUSG00000026473,0.0001115649725855354
ENSMUSG00000038349,0.00011152162964529129
ENSMUSG00000038608,0.00011061451980087627
ENSMUSG00000026421,0.00011013542523542593
ENSMUSG00000025931,0.00010935515332561297
ENSMUSG00000002459,0.00010774952668069259
ENSMUSG00000052062,0.00010498132652046498
ENSMUSG00000050840,0.00010407018611006829
ENSMUSG00000026424,0.00010374219250594684
ENSMUSG00000044708,0.00010360557684143315
ENSMUSG00000014361,0.00010340809666092874
ENSMUSG00000026249,0.00010254958353036437
ENSMUSG00000033569,0.0001015521764618445
ENSMUSG00000047216,0.00010153046561271768
ENSMUSG00000027199,0.00010098395186759361
ENSMUSG00000041670,0.0001008319377217103
ENSMUSG00000026872,0.00010075491248103296
ENSMUSG00000064373,0.00010067279495085518
ENSMUSG00000028565,0.00010045065362667793
ENSMUSG00000025909,0.00010027416972721507
ENSMUSG00000026385,9.968064570968217e-05
ENSMUSG00000051951,9.934490514045794e-05
ENSMUSG00000025915,9.897192549793481e-05
ENSMUSG00000045092,9.869078311358741e-05
ENSMUSG00000025978,9.842025233408658e-05
ENSMUSG00000105265,9.82719164154376e-05
ENSMUSG00000006301,9.79648790143543e-05
ENSMUSG00000025911,9.764046895441476e-05
ENSMUSG00000027562,9.721641119600293e-05
ENSMUSG00000046240,9.71533101736706e-05
ENSMUSG00000047361,9.713803395295348e-05
ENSMUSG00000037242,9.670784508076828e-05
ENSMUSG00000092083,9.66544519462301e-05
ENSMUSG00000055322,9.515484363101825e-05
ENSMUSG00000002985,9.495402513953749e-05
ENSMUSG00000026255,9.476300697216408e-05
ENSMUSG00000025902,9.474983295515732e-05
ENSMUSG00000028517,9.473837562743221e-05
ENSMUSG00000027375,9.473550505514348e-05
ENSMUSG00000026077,9.434784581326865e-05
ENSMUSG00000045515,9.418287727539302e-05
ENSMUSG00000074457,9.350018601358035e-05
ENSMUSG00000018593,9.306544457363603e-05
ENSMUSG00000058325,9.280357712365874e-05
ENSMUSG00000042686,9.270642198806251e-05
ENSMUSG00000037509,9.258381066226859e-05
ENSMUSG00000025932,9.254183545222673e-05
ENSMUSG00000043716,9.235165506431481e-05
ENSMUSG00000005360,9.217717788975263e-05
ENSMUSG00000040260,9.196464748456174e-05
ENSMUSG00000067879,9.176418386735691e-05
ENSMUSG00000026031,9.151890925404893e-05
ENSMUSG00000008575,9.104475906965161e-05
ENSMUSG00000028033,9.100089405840365e-05
ENSMUSG00000013523,9.097284165998446e-05
ENSMUSG00000031925,9.08137378039553e-05
ENSMUSG00000046160,9.061136588009645e-05
ENSMUSG00000042182,9.042716167602166e-05
ENSMUSG00000029723,9.036555081494595e-05
ENSMUSG00000036949,9.029279318059832e-05
ENSMUSG00000056870,9.028958033739564e-05
ENSMUSG00000026923,9.025475363293373e-05
ENSMUSG00000026830,9.009738012691813e-05
ENSMUSG00000060424,9.001918554495938e-05
ENSMUSG00000101640,8.991906508626727e-05
ENSMUSG00000026109,8.974537670166413e-05
ENSMUSG00000034903,8.961304133435935e-05
ENSMUSG00000015090,8.95454655302478e-05
ENSMUSG00000031765,8.952915089590729e-05
ENSMUSG00000060961,8.941292774670034e-05
ENSMUSG00000027447,8.934804432920932e-05
ENSMUSG00000032841,8.913776497849268e-05
ENSMUSG00000057715,8.912844980810712e-05
ENSMUSG00000021127,8.903448122213328e-05
ENSMUSG00000005089,8.891226314722908e-05
ENSMUSG00000075284,8.871996809664201e-05
ENSMUSG00000024140,8.865583190781158e-05
ENSMUSG00000056966,8.862505001196069e-05
ENSMUSG00000032854,8.830398876225172e-05
ENSMUSG00000044033,8.821747147959777e-05
ENSMUSG00000027111,8.806006176677992e-05
ENSMUSG00000004892,8.80384063757906e-05
ENSMUSG00000020044,8.799307912392387e-05
ENSMUSG00000068523,8.762808910662809e-05
ENSMUSG00000026158,8.75934960440326e-05
ENSMUSG00000032060,8.704195459934412e-05
ENSMUSG00000026110,8.653490839897785e-05
ENSMUSG00000026058,8.653359754200675e-05
ENSMUSG00000031714,8.637620404903045e-05
ENSMUSG00000037625,8.619132045538719e-05
ENSMUSG00000029309,8.615146617272402e-05
ENSMUSG00000032766,8.614102107691486e-05
ENSMUSG00000040624,8.60730348425168e-05
ENSMUSG00000030287,8.60337929661373e-05
ENSMUSG00000056515,8.602890596850765e-05
ENSMUSG00000020023,8.601031438536828e-05
ENSMUSG00000032554,8.600580308682591e-05
ENSMUSG00000026173,8.599713635323469e-05
ENSMUSG00000026126,8.597604051427541e-05
ENSMUSG00000034353,8.594866613345476e-05
ENSMUSG00000025986,8.586267439242795e-05
ENSMUSG00000055567,8.580363996683565e-05
ENSMUSG00000052331,8.570412250070326e-05
ENSMUSG00000050953,8.563335618777182e-05
ENSMUSG00000025997,8.556333980047051e-05
ENSMUSG00000005125,8.553497813352894e-05
ENSMUSG00000027339,8.547046148692136e-05
ENSMUSG00000042807,8.544449537903684e-05
ENSMUSG00000058135,8.54288670781894e-05
ENSMUSG00000031762,8.520046411513628e-05
ENSMUSG00000049690,8.519562863372904e-05
ENSMUSG00000026074,8.513555518058822e-05
ENSMUSG00000079671,8.510436926042559e-05
ENSMUSG00000026163,8.50940203528541e-05
ENSMUSG00000030064,8.503567113783975e-05
ENSMUSG00000018417,8.491349317616384e-05
ENSMUSG00000037999,8.48761508674258e-05
ENSMUSG00000026193,8.478658461231743e-05
ENSMUSG00000025993,8.474011125118465e-05
ENSMUSG00000017009,8.470238188776881e-05
ENSMUSG00000034714,8.465829538366832e-05
ENSMUSG00000015305,8.458790779598311e-05
ENSMUSG00000035131,8.454087064235037e-05
ENSMUSG00000025920,8.439179414581826e-05
ENSMUSG00000031425,8.418040297549619e-05
ENSMUSG00000003974,8.413072888817205e-05
ENSMUSG00000016918,8.405882285927685e-05
ENSMUSG00000041235,8.397856686878825e-05
ENSMUSG00000036833,8.361607047685942e-05
ENSMUSG00000016128,8.358871756848132e-05
ENSMUSG00000045658,8.350748152466301e-05
ENSMUSG00000029838,8.32294176302797e-05
ENSMUSG00000030605,8.313682935586171e-05
ENSMUSG00000008734,8.312289090189034e-05
ENSMUSG00000047180,8.300012750920479e-05
ENSMUSG00000021010,8.299187435461918e-05
ENSMUSG00000010175,8.296464866702846e-05
ENSMUSG00000038855,8.286193034595561e-05
ENSMUSG00000031775,8.280276237946208e-05
ENSMUSG00000004151,8.269975134837645e-05
ENSMUSG00000048402,8.262971501706961e-05
ENSMUSG00000004558,8.248324750774897e-05
ENSMUSG00000026080,8.242947704133972e-05
ENSMUSG00000026288,8.22626631735686e-05
ENSMUSG00000006205,8.219785949422525e-05
ENSMUSG00000048332,8.217846686034379e-05
ENSMUSG00000026090,8.206714230690057e-05
ENSMUSG00000019899,8.20404054202977e-05
ENSMUSG00000026519,8.200704414885428e-05
ENSMUSG00000043496,8.198759269956994e-05
ENSMUSG00000071042,8.190056401146367e-05
ENSMUSG00000051910,8.176406532268155e-05
ENSMUSG00000027452,8.172752108413649e-05
ENSMUSG00000098234,8.162557611823927e-05
ENSMUSG00000032517,8.159304194027539e-05
ENSMUSG00000102331,8.149496097603619e-05
ENSMUSG00000032908,8.139978710995268e-05
ENSMUSG00000026748,8.136642704233635e-05
ENSMUSG00000042312,8.134631266558395e-05
ENSMUSG00000022112,8.122408858757535e-05
ENSMUSG00000104238,8.12211538175429e-05
ENSMUSG00000026156,8.118048254995912e-05
ENSMUSG00000045954,8.103419367229308e-05
ENSMUSG00000055538,8.09397000096508e-05
ENSMUSG00000026393,8.083256847902384e-05
ENSMUSG00000025777,8.078211946068454e-05
ENSMUSG00000092274,8.065231353038658e-05
ENSMUSG00000027858,8.064408562136863e-05
ENSMUSG00000004633,8.061993000556181e-05
ENSMUSG00000033006,8.058443706430822e-05
ENSMUSG00000006782,8.049836403963343e-05
ENSMUSG00000024985,8.03299364585434e-05
ENSMUSG00000097156,8.032497179295557e-05
ENSMUSG00000026003,8.013706106130834e-05
ENSMUSG00000054252,8.003292481084631e-05
ENSMUSG00000053702,8.003222626568617e-05
ENSMUSG00000063558,7.998629359807244e-05
ENSMUSG00000041889,7.990836294912018e-05
ENSMUSG00000026932,7.990102417170128e-05
ENSMUSG00000026737,7.98968839499667e-05
ENSMUSG00000033579,7.985815805679087e-05
ENSMUSG00000015243,7.985050367190662e-05
ENSMUSG00000028128,7.984564734972959e-05
ENSMUSG00000045210,7.984367873495763e-05
ENSMUSG00000073680,7.983951387565482e-05
ENSMUSG00000025935,7.976770199055711e-05
ENSMUSG00000026888,7.976506735962956e-05
ENSMUSG00000001911,7.969579111941572e-05
ENSMUSG00000039621,7.966434217769292e-05
ENSMUSG00000053007,7.957352540424839e-05
ENSMUSG00000051177,7.956644924671305e-05
ENSMUSG00000030701,7.931425687857475e-05
ENSMUSG00000026778,7.92969342056903e-05
ENSMUSG00000079658,7.928849771975888e-05
ENSMUSG00000100147,7.926157477754289e-05
ENSMUSG00000030235,7.923754462809698e-05
ENSMUSG00000025903,7.920507093358659e-05
ENSMUSG00000027087,7.916978724563577e-05
ENSMUSG00000053024,7.910815628183618e-05
ENSMUSG00000079470,7.902737054630686e-05
ENSMUSG00000020591,7.901437925011453e-05
ENSMUSG00000053141,7.899148218365653e-05
ENSMUSG00000053475,7.898875463803402e-05
ENSMUSG00000020774,7.89884540832706e-05
ENSMUSG00000026701,7.886537484754367e-05
ENSMUSG00000033845,7.886509597557971e-05
ENSMUSG00000022708,7.886218083672021e-05
ENSMUSG00000025917,7.885280313455624e-05
ENSMUSG00000024593,7.881662737674745e-05
ENSMUSG00000039904,7.876958828062412e-05
ENSMUSG00000036815,7.868922805129477e-05
ENSMUSG00000020423,7.868212582892384e-05
ENSMUSG00000097649,7.868017044707425e-05
ENSMUSG00000032883,7.854075187216508e-05
ENSMUSG00000026131,7.849720105770837e-05
ENSMUSG00000063297,7.845937563213372e-05
ENSMUSG00000043456,7.841760795217008e-05
ENSMUSG00000097063,7.83830826163473e-05
ENSMUSG00000033793,7.835138005925185e-05
ENSMUSG00000050967,7.834041237790092e-05
ENSMUSG00000026586,7.832933060869834e-05
ENSMUSG00000021750,7.814830974106697e-05
ENSMUSG00000030310,7.801021436558472e-05
ENSMUSG00000025925,7.793041875324258e-05
ENSMUSG00000025584,7.792086377512928e-05
ENSMUSG00000037138,7.764712521571796e-05
ENSMUSG00000036634,7.763574627117875e-05
ENSMUSG00000025933,7.757830243165513e-05
ENSMUSG00000100280,7.757580447158816e-05
ENSMUSG00000044080,7.757341463435887e-05
ENSMUSG00000022885,7.754444636428924e-05
ENSMUSG00000068748,7.747236638339382e-05
ENSMUSG00000076439,7.73981714503782e-05
ENSMUSG00000025780,7.735398616163723e-05
ENSMUSG00000006403,7.72725763255836e-05
ENSMUSG00000027422,7.725351872895268e-05
ENSMUSG00000041144,7.723385698916575e-05
ENSMUSG00000031785,7.721767819389625e-05
ENSMUSG00000020422,7.721132263133245e-05
ENSMUSG00000026259,7.715320438708462e-05
ENSMUSG00000024810,7.713791255327386e-05
ENSMUSG00000040759,7.712437295840163e-05
ENSMUSG00000032281,7.711902055698474e-05
ENSMUSG00000026113,7.71077346694282e-05
ENSMUSG00000026176,7.707606191165212e-05
ENSMUSG00000025959,7.700688877790078e-05
ENSMUSG00000062078,7.698244745031408e-05
ENSMUSG00000026029,7.698242809923196e-05
ENSMUSG00000026566,7.69370111574686e-05
ENSMUSG00000027215,7.692143365269187e-05
ENSMUSG00000039835,7.687244659685507e-05
ENSMUSG00000033813,7.681750651336202e-05
ENSMUSG00000026094,7.68112607933279e-05
ENSMUSG00000060802,7.680345319584453e-05
ENSMUSG00000022817,7.676137632463052e-05
ENSMUSG00000026814,7.672864940923323e-05
ENSMUSG00000036766,7.67098909908055e-05
ENSMUSG00000038668,7.668740097271028e-05
ENSMUSG00000048022,7.66573727911769e-05
ENSMUSG00000022425,7.665511609167613e-05
ENSMUSG00000044340,7.663893970195077e-05
ENSMUSG00000026141,7.6613528489309e-05
ENSMUSG00000041439,7.658599858730733e-05
ENSMUSG00000021097,7.652617865126332e-05
ENSMUSG00000056763,7.650899659670892e-05
ENSMUSG00000026154,7.645261139055471e-05
ENSMUSG00000026203,7.645211920350066e-05
ENSMUSG00000074637,7.642409892136563e-05
ENSMUSG00000022548,7.637351172516067e-05
ENSMUSG00000027737,7.634394994700952e-05
ENSMUSG00000025969,7.628078013810472e-05
ENSMUSG00000025937,7.622408262367898e-05
ENSMUSG00000024411,7.617909409579376e-05
