gene_identifier,tech_penalty
ENSMUSG00000051951,0.5236626439690502
ENSMUSG00000089699,0.9590958583777625
ENSMUSG00000102331,0.8665892462308685
ENSMUSG00000102343,1.0
ENSMUSG00000025900,1.0
ENSMUSG00000025902,0.683495499830051
ENSMUSG00000104238,1.0
ENSMUSG00000104328,1.0
ENSMUSG00000033845,0.7275143454628572
ENSMUSG00000025903,0.6507781724057257
ENSMUSG00000033813,0.5540426593297818
ENSMUSG00000002459,0.4427560253325032
ENSMUSG00000085623,1.0
ENSMUSG00000033793,0.610397613036437
ENSMUSG00000025905,1.0
ENSMUSG00000033774,1.0
ENSMUSG00000025907,0.48594950154453026
ENSMUSG00000090031,0.8508402591861729
ENSMUSG00000087247,1.0
ENSMUSG00000033740,0.3622082395855249
ENSMUSG00000051285,0.44789561186524235
ENSMUSG00000097797,0.9946829509026551
ENSMUSG00000103067,1.0
ENSMUSG00000025909,0.52939170411543
ENSMUSG00000061024,0.7855963314416606
ENSMUSG00000025911,0.6654455962686343
ENSMUSG00000079671,0.731737442887729
ENSMUSG00000067879,0.7307175553679637
ENSMUSG00000099827,1.0
ENSMUSG00000025912,0.9669820525335507
ENSMUSG00000045210,0.6421737128847433
ENSMUSG00000097893,0.9816325989118913
ENSMUSG00000025915,0.5937835665434379
ENSMUSG00000046101,0.9735582433180987
ENSMUSG00000098234,0.6762284481582064
ENSMUSG00000099032,1.0
ENSMUSG00000025916,1.0
ENSMUSG00000087199,1.0
ENSMUSG00000025917,0.6865133301002685
ENSMUSG00000056763,0.5372086543803405
ENSMUSG00000067851,0.5297913667260479
ENSMUSG00000042501,0.824179259574793
ENSMUSG00000048960,0.35920816832730224
ENSMUSG00000057715,0.7529597077408542
ENSMUSG00000097171,1.0
ENSMUSG00000101314,1.0
ENSMUSG00000016918,0.7779308828121632
ENSMUSG00000025938,0.9313860487069505
ENSMUSG00000099498,1.0
ENSMUSG00000042414,1.0
ENSMUSG00000005886,0.466644064434587
ENSMUSG00000101476,1.0
ENSMUSG00000025935,0.6113167588091999
ENSMUSG00000025937,0.7087041603731628
ENSMUSG00000067813,1.0
ENSMUSG00000025932,0.696051079312621
ENSMUSG00000054493,1.0
ENSMUSG00000025930,1.0
ENSMUSG00000032769,1.0
ENSMUSG00000092083,0.5485956908009699
ENSMUSG00000025925,0.662338766938031
ENSMUSG00000032719,1.0
ENSMUSG00000067795,1.0
ENSMUSG00000043716,0.3319136601543738
ENSMUSG00000025921,0.7992721059703484
ENSMUSG00000100868,1.0
ENSMUSG00000025920,0.6111531713803484
ENSMUSG00000089982,1.0
ENSMUSG00000025939,0.5756598135872405
ENSMUSG00000079658,0.5544014128160579
ENSMUSG00000097744,1.0
ENSMUSG00000025940,0.7453058775019498
ENSMUSG00000025779,0.925808668855933
ENSMUSG00000101640,0.6647184997883105
ENSMUSG00000042686,0.6581412640796381
ENSMUSG00000100110,1.0
ENSMUSG00000025777,0.7172283854511362
ENSMUSG00000099899,1.0
ENSMUSG00000067780,1.0
ENSMUSG00000100053,1.0
ENSMUSG00000085125,0.9986202051417407
ENSMUSG00000025776,0.9643605454181801
ENSMUSG00000099895,1.0
ENSMUSG00000109887,1.0
