Ensembl_ID,DE_global_score,DE_global_rank
ENSMUSG00000051951,240.86427,1.0
ENSMUSG00000089699,240.80318,2.0
ENSMUSG00000102331,239.65793,3.0
ENSMUSG00000102343,239.5096,4.0
ENSMUSG00000025900,239.42996,5.0
ENSMUSG00000025902,238.8724,6.0
ENSMUSG00000104238,238.44252,7.0
ENSMUSG00000104328,237.08522,8.0
ENSMUSG00000033845,237.0602,9.0
ENSMUSG00000025903,236.46092,10.0
ENSMUSG00000033813,236.14258,11.0
ENSMUSG00000002459,236.0127,12.0
ENSMUSG00000085623,235.24092,13.0
ENSMUSG00000033793,235.15274,14.0
ENSMUSG00000025905,234.65605,15.0
ENSMUSG00000033774,234.22789,16.0
ENSMUSG00000025907,234.1917,17.0
ENSMUSG00000090031,233.98427,18.0
ENSMUSG00000087247,232.72348,19.0
ENSMUSG00000033740,232.4953,20.0
ENSMUSG00000051285,232.08578,21.0
ENSMUSG00000097797,231.72833,22.0
ENSMUSG00000103067,231.6191,23.0
ENSMUSG00000025909,231.2937,24.0
ENSMUSG00000061024,230.99625,25.0
ENSMUSG00000025911,230.45018,26.0
ENSMUSG00000079671,230.0598,27.0
ENSMUSG00000067879,230.00948,28.0
ENSMUSG00000099827,229.46176,29.0
ENSMUSG00000025912,229.26457,30.0
ENSMUSG00000045210,229.20049,31.0
ENSMUSG00000097893,229.1801,32.0
ENSMUSG00000025915,228.62466,33.0
ENSMUSG00000046101,227.55974,34.0
ENSMUSG00000098234,227.13794,35.0
ENSMUSG00000099032,227.00201,36.0
ENSMUSG00000025916,226.5333,37.0
ENSMUSG00000087199,226.52432,38.0
ENSMUSG00000025917,226.28886,39.0
ENSMUSG00000056763,226.2719,40.0
ENSMUSG00000067851,226.09569,41.0
ENSMUSG00000042501,225.7706,42.0
ENSMUSG00000048960,225.40349,43.0
ENSMUSG00000057715,225.31462,44.0
ENSMUSG00000097171,225.19736,45.0
ENSMUSG00000101314,225.07784,46.0
ENSMUSG00000016918,224.58969,47.0
ENSMUSG00000025938,224.57643,48.0
ENSMUSG00000099498,223.90434,49.0
ENSMUSG00000042414,223.82994,50.0
ENSMUSG00000005886,223.7858,51.0
ENSMUSG00000101476,223.59602,52.0
ENSMUSG00000025935,223.1345,53.0
ENSMUSG00000025937,222.94652,54.0
ENSMUSG00000067813,222.91182,55.0
ENSMUSG00000025932,222.2995,56.0
ENSMUSG00000054493,222.24515,57.0
ENSMUSG00000025930,222.15977,58.0
ENSMUSG00000032769,221.52751,59.0
ENSMUSG00000092083,221.39478,60.0
ENSMUSG00000025925,221.32652,61.0
ENSMUSG00000032719,221.26105,62.0
ENSMUSG00000067795,220.58636,63.0
ENSMUSG00000043716,220.51492,64.0
ENSMUSG00000025921,219.98549,65.0
ENSMUSG00000100868,219.8237,66.0
ENSMUSG00000025920,219.69951,67.0
ENSMUSG00000089982,219.5682,68.0
ENSMUSG00000025939,219.56197,69.0
ENSMUSG00000079658,218.84694,70.0
ENSMUSG00000097744,218.53253,71.0
ENSMUSG00000025940,218.49945,72.0
ENSMUSG00000025779,218.26126,73.0
ENSMUSG00000101640,218.02202,74.0
ENSMUSG00000042686,217.3282,75.0
ENSMUSG00000100110,216.59213,76.0
ENSMUSG00000025777,216.5128,77.0
ENSMUSG00000099899,216.49637,78.0
ENSMUSG00000067780,216.02164,79.0
ENSMUSG00000100053,216.02019,80.0
ENSMUSG00000085125,215.82617,81.0
ENSMUSG00000025776,215.65814,82.0
ENSMUSG00000099895,215.19974,83.0
ENSMUSG00000109887,214.97679,84.0
ENSMUSG00000025774,214.67519,85.0
ENSMUSG00000073735,213.14528,86.0
ENSMUSG00000067773,213.11948,87.0
ENSMUSG00000089787,212.43794,88.0
ENSMUSG00000042596,212.19926,89.0
ENSMUSG00000025927,211.71349,90.0
ENSMUSG00000100538,211.65843,91.0
ENSMUSG00000043760,211.64162,92.0
ENSMUSG00000089914,211.63574,93.0
ENSMUSG00000099906,211.50606,94.0
ENSMUSG00000025929,211.4574,95.0
ENSMUSG00000041872,211.304,96.0
ENSMUSG00000041859,211.04973,97.0
ENSMUSG00000102121,211.0129,98.0
ENSMUSG00000097934,210.83244,99.0
ENSMUSG00000025931,210.61723,100.0
ENSMUSG00000041809,210.44543,101.0
ENSMUSG00000041779,210.09686,102.0
ENSMUSG00000099971,209.89159,103.0
ENSMUSG00000025933,209.7554,104.0
ENSMUSG00000025934,209.64003,105.0
ENSMUSG00000099343,209.03085,106.0
ENSMUSG00000067750,208.89905,107.0
ENSMUSG00000041722,208.68254,108.0
ENSMUSG00000085079,208.61824,109.0
ENSMUSG00000028033,208.61156,110.0
ENSMUSG00000041670,208.50958,111.0
ENSMUSG00000101227,208.50037,112.0
ENSMUSG00000073730,208.47952,113.0
ENSMUSG00000097970,208.36093,114.0
ENSMUSG00000100775,208.18015,115.0
ENSMUSG00000026158,208.01509,116.0
ENSMUSG00000099503,207.95688,117.0
ENSMUSG00000026156,207.83693,118.0
ENSMUSG00000026155,207.79013,119.0
ENSMUSG00000026154,207.7864,120.0
ENSMUSG00000026153,207.6062,121.0
ENSMUSG00000026147,207.54488,122.0
ENSMUSG00000026141,207.27295,123.0
ENSMUSG00000073725,207.02835,124.0
ENSMUSG00000100483,206.70634,125.0
ENSMUSG00000099392,206.6201,126.0
ENSMUSG00000033569,206.47739,127.0
ENSMUSG00000073722,206.16913,128.0
ENSMUSG00000101514,206.12436,129.0
ENSMUSG00000048411,206.08482,130.0
ENSMUSG00000053185,205.98814,131.0
ENSMUSG00000048874,205.61232,132.0
ENSMUSG00000026064,205.22432,133.0
ENSMUSG00000117310,205.22173,134.0
ENSMUSG00000117091,205.17877,135.0
ENSMUSG00000086727,205.09422,136.0
ENSMUSG00000100237,204.79987,137.0
ENSMUSG00000100910,204.49669,138.0
ENSMUSG00000050217,204.0637,139.0
ENSMUSG00000026063,203.7782,140.0
ENSMUSG00000026058,203.7267,141.0
ENSMUSG00000091318,203.68604,142.0
ENSMUSG00000102917,203.67198,143.0
ENSMUSG00000104230,203.46199,144.0
ENSMUSG00000026134,203.24567,145.0
ENSMUSG00000004768,203.039,146.0
ENSMUSG00000042215,202.9977,147.0
ENSMUSG00000042197,202.60094,148.0
ENSMUSG00000042182,201.67905,149.0
ENSMUSG00000026131,201.59918,150.0
ENSMUSG00000096992,200.7299,151.0
ENSMUSG00000104397,200.69121,152.0
ENSMUSG00000102336,200.54391,153.0
ENSMUSG00000042111,200.29976,154.0
ENSMUSG00000101711,200.05849,155.0
ENSMUSG00000026127,199.94392,156.0
ENSMUSG00000026126,199.91588,157.0
ENSMUSG00000100280,199.87292,158.0
ENSMUSG00000101223,199.50883,159.0
ENSMUSG00000026125,199.4641,160.0
ENSMUSG00000026124,199.40657,161.0
ENSMUSG00000037529,199.3493,162.0
ENSMUSG00000045815,199.34297,163.0
ENSMUSG00000045174,199.22417,164.0
ENSMUSG00000037509,198.98164,165.0
ENSMUSG00000118272,198.46599,166.0
ENSMUSG00000104002,197.85596,167.0
ENSMUSG00000037503,197.00192,168.0
ENSMUSG00000026123,197.0004,169.0
ENSMUSG00000104417,196.92949,170.0
ENSMUSG00000101714,196.77003,171.0
ENSMUSG00000102531,196.50197,172.0
ENSMUSG00000102279,196.40228,173.0
ENSMUSG00000103708,196.38043,174.0
ENSMUSG00000104201,196.31158,175.0
ENSMUSG00000045216,196.1336,176.0
ENSMUSG00000104523,195.43053,177.0
ENSMUSG00000102202,195.19467,178.0
ENSMUSG00000037470,195.01395,179.0
ENSMUSG00000047180,194.85939,180.0
ENSMUSG00000037447,194.60797,181.0
ENSMUSG00000102762,194.22392,182.0
ENSMUSG00000010453,194.09918,183.0
ENSMUSG00000037432,194.04291,184.0
ENSMUSG00000001143,193.8366,185.0
ENSMUSG00000037408,193.80237,186.0
ENSMUSG00000001138,193.63512,187.0
ENSMUSG00000102845,193.42708,188.0
ENSMUSG00000067653,193.14569,189.0
ENSMUSG00000079610,193.13174,190.0
ENSMUSG00000026121,193.09308,191.0
ENSMUSG00000087589,193.03848,192.0
ENSMUSG00000046337,192.95172,193.0
ENSMUSG00000061518,192.7941,194.0
ENSMUSG00000037351,192.69359,195.0
ENSMUSG00000102416,192.65668,196.0
ENSMUSG00000104237,192.6495,197.0
ENSMUSG00000026117,192.59976,198.0
ENSMUSG00000026116,192.4631,199.0
ENSMUSG00000102930,192.16551,200.0
ENSMUSG00000050122,191.79402,201.0
ENSMUSG00000103603,191.21101,202.0
ENSMUSG00000026114,191.07774,203.0
ENSMUSG00000026113,190.74536,204.0
ENSMUSG00000086064,190.40938,205.0
ENSMUSG00000026112,190.32336,206.0
