Ensembl_ID,HVG_rank,HVG_score
ENSMUSG00000007097,1.0,6.0433426
ENSMUSG00000026473,2.0,6.0042143
ENSMUSG00000028565,3.0,5.750812
ENSMUSG00000064373,4.0,5.6587005
ENSMUSG00000055643,5.0,5.491703
ENSMUSG00000031925,6.0,5.346078
ENSMUSG00000031765,7.0,5.3373737
ENSMUSG00000079655,8.0,5.2532225
ENSMUSG00000058325,9.0,5.0488124
ENSMUSG00000014361,10.0,4.930561
ENSMUSG00000018593,11.0,4.875404
ENSMUSG00000027447,12.0,4.853323
ENSMUSG00000046240,13.0,4.78811
ENSMUSG00000027199,14.0,4.785081
ENSMUSG00000094966,15.0,4.7759967
ENSMUSG00000037242,16.0,4.7715526
ENSMUSG00000002985,17.0,4.724069
ENSMUSG00000029723,18.0,4.6910696
ENSMUSG00000031425,19.0,4.5795846
ENSMUSG00000028517,20.0,4.5186996
ENSMUSG00000045092,21.0,4.4912953
ENSMUSG00000093966,22.0,4.4844775
ENSMUSG00000056515,23.0,4.4804034
ENSMUSG00000062078,24.0,4.4366546
ENSMUSG00000026421,25.0,4.411589
ENSMUSG00000024140,26.0,4.3342795
ENSMUSG00000022708,27.0,4.3309402
ENSMUSG00000031714,28.0,4.3233175
ENSMUSG00000027562,29.0,4.2380724
ENSMUSG00000005360,30.0,4.217104
ENSMUSG00000051038,31.0,4.20737
ENSMUSG00000068523,32.0,4.201006
ENSMUSG00000015305,33.0,4.195568
ENSMUSG00000038608,34.0,4.155054
ENSMUSG00000061342,35.0,4.1045814
ENSMUSG00000005089,36.0,4.082898
ENSMUSG00000021127,37.0,4.0532255
ENSMUSG00000060961,38.0,4.051889
ENSMUSG00000106620,39.0,4.0385857
ENSMUSG00000026385,40.0,4.0137496
ENSMUSG00000020044,41.0,3.9997633
ENSMUSG00000031431,42.0,3.9528594
ENSMUSG00000027375,43.0,3.9505608
ENSMUSG00000086503,44.0,3.9408276
ENSMUSG00000040260,45.0,3.9124672
ENSMUSG00000026872,46.0,3.9082103
ENSMUSG00000029309,47.0,3.89038
ENSMUSG00000004558,48.0,3.8606641
ENSMUSG00000008575,49.0,3.8543122
ENSMUSG00000030235,50.0,3.8348737
ENSMUSG00000044708,51.0,3.8056972
ENSMUSG00000019820,52.0,3.796615
ENSMUSG00000033740,53.0,3.7761157
ENSMUSG00000026424,54.0,3.775647
ENSMUSG00000087608,55.0,3.7733278
ENSMUSG00000027422,56.0,3.7729058
ENSMUSG00000031762,57.0,3.7719765
ENSMUSG00000030287,58.0,3.767685
ENSMUSG00000105265,59.0,3.7621062
ENSMUSG00000020023,60.0,3.7607489
ENSMUSG00000005125,61.0,3.748048
ENSMUSG00000032060,62.0,3.7462492
ENSMUSG00000021010,63.0,3.746119
ENSMUSG00000050953,64.0,3.7311225
ENSMUSG00000100759,65.0,3.729512
ENSMUSG00000032554,66.0,3.7244675
ENSMUSG00000004151,67.0,3.7231514
ENSMUSG00000006205,68.0,3.7209616
ENSMUSG00000092274,69.0,3.72037
ENSMUSG00000030605,70.0,3.7100453
ENSMUSG00000022817,71.0,3.7021697
ENSMUSG00000074457,72.0,3.6993666
ENSMUSG00000047216,73.0,3.6985948
ENSMUSG00000032517,74.0,3.6892934
ENSMUSG00000032766,75.0,3.6799862
ENSMUSG00000041607,76.0,3.6527786
ENSMUSG00000027111,77.0,3.6508467
ENSMUSG00000063297,78.0,3.6494668
ENSMUSG00000037999,79.0,3.6485333
ENSMUSG00000071042,80.0,3.635031
ENSMUSG00000040624,81.0,3.6329954
ENSMUSG00000029838,82.0,3.6054306
ENSMUSG00000022112,83.0,3.5925314
ENSMUSG00000046160,84.0,3.5875573
ENSMUSG00000112636,85.0,3.584677
ENSMUSG00000099683,86.0,3.5755293
ENSMUSG00000030064,87.0,3.5682414
ENSMUSG00000015090,88.0,3.5584934
ENSMUSG00000044033,89.0,3.5540824
ENSMUSG00000118101,90.0,3.5420454
ENSMUSG00000062209,91.0,3.5299904
ENSMUSG00000050840,92.0,3.529254
ENSMUSG00000022799,93.0,3.5266962
ENSMUSG00000044786,94.0,3.5035548
ENSMUSG00000107737,95.0,3.4667337
ENSMUSG00000003974,96.0,3.429143
ENSMUSG00000026814,97.0,3.4222515
ENSMUSG00000034714,98.0,3.410194
ENSMUSG00000039959,99.0,3.3938494
ENSMUSG00000048960,100.0,3.389156
ENSMUSG00000024985,101.0,3.382331
ENSMUSG00000038349,102.0,3.3819911
ENSMUSG00000030737,103.0,3.3762653
ENSMUSG00000020591,104.0,3.36519
ENSMUSG00000036019,105.0,3.3621936
ENSMUSG00000032440,106.0,3.3620934
ENSMUSG00000116010,107.0,3.3589287
ENSMUSG00000019899,108.0,3.355666
ENSMUSG00000032841,109.0,3.3465457
ENSMUSG00000103994,110.0,3.3397987
ENSMUSG00000022885,111.0,3.3390467
ENSMUSG00000058135,112.0,3.3275266
ENSMUSG00000019873,113.0,3.3121746
ENSMUSG00000006782,114.0,3.3068717
ENSMUSG00000055148,115.0,3.3034174
ENSMUSG00000063458,116.0,3.2975063
ENSMUSG00000109487,117.0,3.2919147
ENSMUSG00000041235,118.0,3.2902706
ENSMUSG00000112439,119.0,3.286385
ENSMUSG00000052062,120.0,3.2842019
ENSMUSG00000016087,121.0,3.2840848
ENSMUSG00000026830,122.0,3.281546
ENSMUSG00000029484,123.0,3.2783797
ENSMUSG00000026923,124.0,3.2743604
ENSMUSG00000056966,125.0,3.2686176
ENSMUSG00000020422,126.0,3.2627625
ENSMUSG00000007872,127.0,3.2615612
ENSMUSG00000025780,128.0,3.258129
ENSMUSG00000033306,129.0,3.2554846
ENSMUSG00000021025,130.0,3.2500992
ENSMUSG00000048120,131.0,3.2359238
ENSMUSG00000004892,132.0,3.2335234
ENSMUSG00000025584,133.0,3.231697
ENSMUSG00000016128,134.0,3.227607
ENSMUSG00000057098,135.0,3.2266603
ENSMUSG00000033577,136.0,3.2236028
ENSMUSG00000031586,137.0,3.2213
ENSMUSG00000032006,138.0,3.2140768
ENSMUSG00000051910,139.0,3.2117338
ENSMUSG00000037625,140.0,3.2047396
ENSMUSG00000008734,141.0,3.1944556
ENSMUSG00000039835,142.0,3.178804
ENSMUSG00000055538,143.0,3.17538
ENSMUSG00000017754,144.0,3.17203
ENSMUSG00000115946,145.0,3.1707745
ENSMUSG00000050103,146.0,3.1633658
ENSMUSG00000076755,147.0,3.16104
ENSMUSG00000036949,148.0,3.1582856
ENSMUSG00000043931,149.0,3.1572263
ENSMUSG00000104382,150.0,3.15277
ENSMUSG00000034165,151.0,3.1481013
ENSMUSG00000040430,152.0,3.1382515
ENSMUSG00000024593,153.0,3.1371894
ENSMUSG00000078509,154.0,3.132861
ENSMUSG00000032854,155.0,3.1323943
ENSMUSG00000031775,156.0,3.1288235
ENSMUSG00000042745,157.0,3.1203597
ENSMUSG00000020486,158.0,3.1124122
ENSMUSG00000105547,159.0,3.1122048
ENSMUSG00000024411,160.0,3.1113944
ENSMUSG00000028128,161.0,3.107668
ENSMUSG00000021709,162.0,3.102635
ENSMUSG00000022548,163.0,3.1003153
ENSMUSG00000076439,164.0,3.0963197
ENSMUSG00000043496,165.0,3.091893
ENSMUSG00000032281,166.0,3.0876358
ENSMUSG00000034903,167.0,3.0828242
ENSMUSG00000024810,168.0,3.0813897
ENSMUSG00000020774,169.0,3.0792356
ENSMUSG00000030701,170.0,3.0684412
ENSMUSG00000041378,171.0,3.0610213
ENSMUSG00000020263,172.0,3.057648
ENSMUSG00000110080,173.0,3.0574594
ENSMUSG00000019978,174.0,3.057455
ENSMUSG00000013523,175.0,3.049674
ENSMUSG00000051437,176.0,3.0477104
ENSMUSG00000039167,177.0,3.047076
ENSMUSG00000110171,178.0,3.0461957
ENSMUSG00000038855,179.0,3.0417168
ENSMUSG00000027803,180.0,3.0373335
ENSMUSG00000075284,181.0,3.0306728
ENSMUSG00000097156,182.0,3.0306346
ENSMUSG00000045797,183.0,3.0273833
ENSMUSG00000054252,184.0,3.0229592
ENSMUSG00000022018,185.0,3.0184016
ENSMUSG00000015243,186.0,3.0165331
ENSMUSG00000113449,187.0,3.016186
ENSMUSG00000052818,188.0,3.0139546
ENSMUSG00000026249,189.0,3.0126748
ENSMUSG00000030247,190.0,3.0102842
ENSMUSG00000017009,191.0,3.0063198
ENSMUSG00000036634,192.0,3.0050416
ENSMUSG00000075254,193.0,3.0003884
ENSMUSG00000070436,194.0,2.9941244
ENSMUSG00000040584,195.0,2.993267
ENSMUSG00000061232,196.0,2.9914649
ENSMUSG00000035805,197.0,2.989786
ENSMUSG00000042284,198.0,2.9891577
ENSMUSG00000073680,199.0,2.987574
ENSMUSG00000042312,200.0,2.9806437
ENSMUSG00000021750,201.0,2.9798417
ENSMUSG00000027339,202.0,2.973594
ENSMUSG00000052544,203.0,2.972516
ENSMUSG00000032035,204.0,2.9695275
ENSMUSG00000004612,205.0,2.9686759
ENSMUSG00000079018,206.0,2.9685173
ENSMUSG00000010064,207.0,2.963777
ENSMUSG00000078763,208.0,2.9625018
ENSMUSG00000045817,209.0,2.9534445
ENSMUSG00000030237,210.0,2.9509456
ENSMUSG00000031785,211.0,2.9397893
ENSMUSG00000076745,212.0,2.937442
