Ensembl_ID,HVG_score,DE_global_score,PCA_combined_score,HVG_rank,DE_rank,PCA_rank,rank_profile,rank_score,prob_raw,Combined_score_prob
ENSMUSG00000007097,6.0433426,74.07136,0.0041757824423633,1.0,1496.0,1.0,"(1.0, 1.0, 1496.0)",1.1596,0.6218479008973139,0.036619737479053616
ENSMUSG00000026473,6.0042143,82.66842,0.0034453914555085,2.0,1235.0,54.0,"(2.0, 54.0, 1235.0)",2.6635,0.31877792714048186,0.018772378244192204
ENSMUSG00000046240,4.78811,0.290675,0.0040757258451574,13.0,14987.0,2.0,"(2.0, 13.0, 14987.0)",3.6287000000000003,0.2434015936631081,0.014333573288684554
ENSMUSG00000028565,5.750812,23.818035,0.003566075165591,3.0,6240.0,40.0,"(3.0, 40.0, 6240.0)",4.024,0.2219499963189951,0.013070319264486279
ENSMUSG00000105265,3.7621062,37.760014,0.004008976914357,59.0,4267.0,5.0,"(5.0, 59.0, 4267.0)",6.0167,0.15375408575749544,0.009054359190803373
ENSMUSG00000046160,3.5875573,-0.42821714,0.0040543519422888,84.0,25760.0,3.0,"(3.0, 84.0, 25760.0)",6.416,0.1448449576783239,0.008529713323291792
ENSMUSG00000064373,5.6587005,-0.036413725,0.0040030372851058,4.0,23835.0,6.0,"(4.0, 6.0, 23835.0)",6.4435,0.1442692975678163,0.008495813519025295
ENSMUSG00000051951,-0.64713955,240.86427,0.0027428431767553,22624.0,1.0,367.0,"(1.0, 367.0, 22624.0)",6.9323999999999995,0.1347495644182697,0.007935209988316254
ENSMUSG00000040260,3.9124672,-1.2099303,0.004041018232843,45.0,26905.0,4.0,"(4.0, 45.0, 26905.0)",7.1405,0.1310688012613777,0.007718455086782517
ENSMUSG00000031925,5.346078,0.348787,0.0033111268940193,6.0,14685.0,76.0,"(6.0, 76.0, 14685.0)",8.2285,0.11469278369873956,0.006754094729159943
ENSMUSG00000026421,4.411589,88.6172,0.0039092182530886,25.0,1102.0,8.0,"(8.0, 25.0, 1102.0)",8.3602,0.11298430751438163,0.006653484999240257
ENSMUSG00000031765,5.3373737,0.48350087,0.0032060124056203,7.0,14139.0,106.0,"(7.0, 106.0, 14139.0)",9.4739,0.10034579910867233,0.005909221234297015
