dataset,model,label_key,size,weighting,atlas_version,accuracy,f1_weighted,f1_macro
atlas,small_weighted__kdp2po4o_last,class,small,weighted,atlas1,0.9418,0.9394416905433736,0.7864286040076807
atlas,small_uniform__ko0hq20i_last,class,small,uniform,atlas1,0.9441,0.942165403478724,0.7957509675688202
atlas,big_uniform__z6csa92l_last,class,big,uniform,atlas1,0.96935,0.9682005992807668,0.8940862196232623
atlas,big_weighted__uv28i4o3_last,class,big,weighted,atlas1,0.9682833333333334,0.9668944978121662,0.888746744494032
atlas,small_uniform__dfa4zrfz_last,class,small,uniform,atlas2,0.9306833333333332,0.9275792504297574,0.7518256178882216
zhuang,small_uniform__dfa4zrfz_last,class,small,uniform,atlas2,0.7263,0.7140191956519788,0.5379414982258912
atlas,small_weighted__hgld4ax1_last,class,small,weighted,atlas2,0.9252333333333334,0.9219347957114978,0.7536472008398324
zeng,small_uniform__dfa4zrfz_last,cell_type_mmc_raw,small,uniform,atlas2,0.9256666666666666,0.924000235576082,0.7038891829394792
zhuang,small_weighted__hgld4ax1_last,class,small,weighted,atlas2,0.7263,0.7132297158697368,0.5289957978467422
atlas,big_weighted__6iz4xrqm_last,class,big,weighted,atlas2,0.9617333333333332,0.9600024079059968,0.873651183375475
zhuang,small_uniform__dfa4zrfz_last,cell_type_mmc_raw,small,uniform,atlas2,0.93535,0.933031994808428,0.7260889669196068
isd,small_uniform__dfa4zrfz_last,cell_type_mmc_raw,small,uniform,atlas2,0.8588910547974875,0.8515955942927413,0.760130443056904
zeng,small_weighted__hgld4ax1_last,cell_type_mmc_raw,small,weighted,atlas2,0.92285,0.9210357723508495,0.6888401650058875
zhuang,big_weighted__6iz4xrqm_last,class,big,weighted,atlas2,0.7382,0.7272110184473938,0.5836776273936787
zhuang,small_weighted__hgld4ax1_last,cell_type_mmc_raw,small,weighted,atlas2,0.9358333333333332,0.9329436887881494,0.7105416703393139
isd,small_weighted__hgld4ax1_last,cell_type_mmc_raw,small,weighted,atlas2,0.866904916612519,0.8601261809575071,0.7909531172220936
zeng,big_weighted__6iz4xrqm_last,cell_type_mmc_raw,big,weighted,atlas2,0.9304666666666668,0.9288291409444176,0.7279755747996972
atlas,big_uniform__z6csa92l_last,class,big,uniform,atlas1,0.96935,0.9682005992807668,0.8940862196232623
atlas,big_uniform__b5wnm0b2_last,class,big,uniform,atlas2,0.9646333333333332,0.9630276910688036,0.8455522701772051
zhuang,big_uniform__z6csa92l_last,class,big,uniform,atlas1,0.7386333333333334,0.7279366540718599,0.6181118778837711
zhuang,big_uniform__b5wnm0b2_last,class,big,uniform,atlas2,0.7423333333333333,0.7313988264180167,0.6176653736150837
zhuang,big_weighted__6iz4xrqm_last,cell_type_mmc_raw,big,weighted,atlas2,0.9432833333333334,0.9416183487662128,0.7778021645511398
isd,big_weighted__6iz4xrqm_last,cell_type_mmc_raw,big,weighted,atlas2,0.8710201429499675,0.866186710896577,0.7985933816078653
zeng,big_uniform__b5wnm0b2_last,cell_type_mmc_raw,big,uniform,atlas2,0.9393,0.9380197543789864,0.7516188920712387
zeng,big_uniform__z6csa92l_last,cell_type_mmc_raw,big,uniform,atlas1,0.9389,0.9377884199070724,0.762927687478846
